calendar_year,cause,ranking,total_deaths,n
2003,All other forms of chronic ...,1,"1,749",22
2003,Malignant neoplasms of trac...,2,"1,257",22
2003,Acute myocardial infarction,3,"1,242",22
2003,"Stroke, not specified as he...",4,  760,22
2003,Atherosclerotic cardiovascu...,5,  709,22
2003,Other chronic obstructive p...,6,  670,22
2003,Diabetes mellitus,7,  455,22
2003,Malignant neoplasm of breast,8,  419,22
2003,Other malignant neoplasms o...,9,  394,16
2003,Malignant neoplasms of colon,10,  364,22
2003,Malignant neoplasms of pros...,11,  362,22
2003,Alzheimer's disease,12,  343,22
2003,Pneumonia due to other or u...,13,  328,22
2003,Malignant neoplasms ofpancreas,14,  294,10
2003,Organic dementia,15,  281,22
